,ObjectId,Country,ISO2,ISO3,Unit,Measure,Date,Value,Year,Month,Day
6146,6147,World,,WLD,Millimeters,World,05/05/2000,-12.55,2000,5,5
6171,6172,World,,WLD,Millimeters,World,05/15/2000,-11.95,2000,5,15
6197,6198,World,,WLD,Millimeters,World,05/25/2000,-8.05,2000,5,25
6221,6222,World,,WLD,Millimeters,World,06/04/2000,-3.55,2000,6,4
6247,6248,World,,WLD,Millimeters,World,06/14/2000,-4.65,2000,6,14
6272,6273,World,,WLD,Millimeters,World,06/24/2000,-7.75,2000,6,24
6297,6298,World,,WLD,Millimeters,World,07/04/2000,-9.35,2000,7,4
6322,6323,World,,WLD,Millimeters,World,07/14/2000,-5.85,2000,7,14
6347,6348,World,,WLD,Millimeters,World,08/03/2000,-1.65,2000,8,3
6372,6373,World,,WLD,Millimeters,World,08/13/2000,0.45,2000,8,13
6398,6399,World,,WLD,Millimeters,World,08/23/2000,-0.85,2000,8,23
6422,6423,World,,WLD,Millimeters,World,09/02/2000,-6.25,2000,9,2
6443,6444,World,,WLD,Millimeters,World,09/11/2000,-1.65,2000,9,11
6470,6471,World,,WLD,Millimeters,World,09/21/2000,8.15,2000,9,21
6495,6496,World,,WLD,Millimeters,World,10/01/2000,13.35,2000,10,1
6520,6521,World,,WLD,Millimeters,World,10/11/2000,12.45,2000,10,11
6547,6548,World,,WLD,Millimeters,World,10/21/2000,5.15,2000,10,21
6572,6573,World,,WLD,Millimeters,World,11/10/2000,5.05,2000,11,10
6597,6598,World,,WLD,Millimeters,World,11/20/2000,7.95,2000,11,20
6620,6621,World,,WLD,Millimeters,World,11/30/2000,9.65,2000,11,30
6647,6648,World,,WLD,Millimeters,World,12/10/2000,7.05,2000,12,10
6672,6673,World,,WLD,Millimeters,World,12/20/2000,3.05,2000,12,20
6697,6698,World,,WLD,Millimeters,World,12/30/2000,2.75,2000,12,30
6723,6724,World,,WLD,Millimeters,World,01/09/2001,2.75,2001,1,9
6743,6744,World,,WLD,Millimeters,World,01/28/2001,4.25,2001,1,28
6769,6770,World,,WLD,Millimeters,World,02/07/2001,0.75,2001,2,7
6796,6797,World,,WLD,Millimeters,World,02/17/2001,-6.15,2001,2,17
6821,6822,World,,WLD,Millimeters,World,02/27/2001,-5.25,2001,2,27
6847,6848,World,,WLD,Millimeters,World,03/09/2001,0.75,2001,3,9
6871,6872,World,,WLD,Millimeters,World,03/19/2001,-0.35,2001,3,19
6897,6898,World,,WLD,Millimeters,World,03/29/2001,3.45,2001,3,29
6922,6923,World,,WLD,Millimeters,World,04/08/2001,0.75,2001,4,8
6947,6948,World,,WLD,Millimeters,World,04/18/2001,-2.55,2001,4,18
6972,6973,World,,WLD,Millimeters,World,04/28/2001,-6.65,2001,4,28
6997,6998,World,,WLD,Millimeters,World,05/08/2001,-4.85,2001,5,8
7016,7017,World,,WLD,Millimeters,World,05/17/2001,0.65,2001,5,17
7044,7045,World,,WLD,Millimeters,World,05/27/2001,0.55,2001,5,27
7070,7071,World,,WLD,Millimeters,World,06/06/2001,-1.05,2001,6,6
